model,config_id,phase,mean_macro_f1,std_macro_f1,mean_weighted_f1,mean_accuracy,mean_train_time_s,mean_vocab_size,clf_params,tfidf_params
SGDClassifier,SGD_p1_log_loss_a1e-05_balanced,1,0.8144,0.0646,0.8167,0.8178,0.62,30905,"{""loss"": ""log_loss"", ""alpha"": 1e-05, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_log_loss_a0.0001_balanced,1,0.8166,0.0676,0.8186,0.8198,0.61,30905,"{""loss"": ""log_loss"", ""alpha"": 0.0001, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_log_loss_a0.001_balanced,1,0.7988,0.0710,0.8008,0.8028,0.73,30905,"{""loss"": ""log_loss"", ""alpha"": 0.001, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_modified_huber_a1e-05_balanced,1,0.8026,0.0670,0.8050,0.8061,1.07,30905,"{""loss"": ""modified_huber"", ""alpha"": 1e-05, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_modified_huber_a0.0001_balanced,1,0.8078,0.0663,0.8101,0.8115,1.04,30905,"{""loss"": ""modified_huber"", ""alpha"": 0.0001, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_modified_huber_a0.001_balanced,1,0.8186,0.0683,0.8208,0.8218,0.69,30905,"{""loss"": ""modified_huber"", ""alpha"": 0.001, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_hinge_a1e-05_balanced,1,0.8089,0.0602,0.8110,0.8121,1.02,30905,"{""loss"": ""hinge"", ""alpha"": 1e-05, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_hinge_a0.0001_balanced,1,0.8127,0.0639,0.8150,0.8158,1.38,30905,"{""loss"": ""hinge"", ""alpha"": 0.0001, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_hinge_a0.001_balanced,1,0.8188,0.0644,0.8205,0.8215,0.88,30905,"{""loss"": ""hinge"", ""alpha"": 0.001, ""class_weight"": ""balanced""}",{}
SGDClassifier,SGD_p1_log_a0.0001_unweighted,1,0.8070,0.0811,0.8088,0.8115,0.93,30905,"{""loss"": ""log_loss"", ""alpha"": 0.0001, ""class_weight"": null}",{}
